NTP (mM)	Mg (mM)	RNA rate (um/min)	Rate Std Dev (um/min)
0.00E+00	2.00E+00	0.00E+00	5.00E-03
4.00E-01	2.00E+00	8.77E-02	8.08E-03
8.00E-01	2.00E+00	7.38E-02	6.92E-03
1.60E+00	2.00E+00	6.54E-03	5.00E-03
3.20E+00	2.00E+00	-3.85E-04	3.85E-03
4.00E+00	2.00E+00	-1.15E-03	3.85E-03
0.00E+00	4.00E+00	0.00E+00	5.38E-03
4.00E-01	4.00E+00	1.10E-01	8.46E-03
8.00E-01	4.00E+00	1.26E-01	5.38E-03
1.60E+00	4.00E+00	8.46E-02	5.00E-03
3.20E+00	4.00E+00	4.23E-03	4.62E-03
4.00E+00	4.00E+00	2.69E-03	5.00E-03
0.00E+00	8.00E+00	0.00E+00	5.77E-03
4.00E-01	8.00E+00	1.16E-01	1.46E-02
8.00E-01	8.00E+00	1.48E-01	4.23E-03
1.60E+00	8.00E+00	1.61E-01	9.23E-03
3.20E+00	8.00E+00	8.15E-02	1.08E-02
4.00E+00	8.00E+00	4.81E-02	8.08E-03
0.00E+00	1.40E+01	0.00E+00	5.00E-03
4.00E-01	1.40E+01	1.23E-01	8.46E-03
8.00E-01	1.40E+01	1.43E-01	3.08E-03
1.60E+00	1.40E+01	1.71E-01	4.62E-03
3.20E+00	1.40E+01	1.72E-01	7.69E-03
4.00E+00	1.40E+01	1.51E-01	1.04E-02
0.00E+00	2.00E+01	0.00E+00	5.00E-03
4.00E-01	2.00E+01	1.06E-01	5.00E-03
8.00E-01	2.00E+01	1.32E-01	3.85E-03
1.60E+00	2.00E+01	1.54E-01	3.85E-03
3.20E+00	2.00E+01	1.86E-01	7.31E-03
4.00E+00	2.00E+01	1.88E-01	1.35E-02
