NTP(mM),Ppi(mM),Mg(mM),Mgstd(mM),
1.00E-07,1.00E-15,4.436065574,0.118032787,1.00E-04
1.00E-07,0.5,3.4,0.17704918,1.00E-04
1.00E-07,1.5,1.314754098,0.301639344,1.00E-04
1.00E-07,2.5,0.390163934,0.209836066,1.00E-04
1.00E-07,3.5,0.554098361,0.104918033,1.00E-04
1.00E-07,4.5,0.954098361,0.11147541,1.00E-04
1.00E-07,5.5,1.209836066,0.118032787,1.00E-04
1.00E-07,6.5,1.701639344,0.11147541,1.00E-04
1.00E-07,7.5,2.514754098,0.183606557,1.00E-04
1.00E-07,8.5,4.173770492,0.28852459,1.00E-04
2.00E-01,1.00E-15,4.232786885,0.131147541,2.00E+02
2.00E-01,0.5,3.57704918,0.301639344,2.00E+02
2.00E-01,1.5,1.616393443,0.163934426,2.00E+02
2.00E-01,2.5,0.842622951,0.170491803,2.00E+02
2.00E-01,3.5,0.868852459,0.249180328,2.00E+02
2.00E-01,4.5,1.17704918,0.262295082,2.00E+02
2.00E-01,5.5,1.701639344,0.11147541,2.00E+02
2.00E-01,6.5,3.183606557,0.603278689,2.00E+02
2.00E-01,7.5,4.304918033,0.131147541,2.00E+02
2.00E-01,8.5,4.344262295,0.104918033,2.00E+02
4.00E-01,1.00E-15,4.350819672,0.150819672,4.00E+02
4.00E-01,0.5,4.127868852,0.327868852,4.00E+02
4.00E-01,1.5,1.426229508,0.209836066,4.00E+02
4.00E-01,2.5,0.993442623,0.144262295,4.00E+02
4.00E-01,3.5,1.367213115,0.183606557,4.00E+02
4.00E-01,4.5,2.049180328,0.609836066,4.00E+02
4.00E-01,5.5,3.386885246,0.347540984,4.00E+02
4.00E-01,6.5,4.272131148,0.386885246,4.00E+02
4.00E-01,7.5,4.272131148,0.209836066,4.00E+02
4.00E-01,8.5,4.285245902,0.157377049,4.00E+02
6.00E-01,1.00E-15,4.363934426,0.157377049,6.00E+02
6.00E-01,0.5,4.13442623,0.268852459,6.00E+02
6.00E-01,1.5,2.003278689,0.170491803,6.00E+02
6.00E-01,2.5,2.009836066,0.281967213,6.00E+02
6.00E-01,3.5,2.672131148,0.714754098,6.00E+02
6.00E-01,4.5,3.786885246,0.301639344,6.00E+02
6.00E-01,5.5,4.331147541,0.124590164,6.00E+02
6.00E-01,6.5,4.252459016,0.28852459,6.00E+02
6.00E-01,7.5,4.331147541,0.190163934,6.00E+02
6.00E-01,8.5,4.324590164,0.098360656,6.00E+02
6.00E-01,1.00E-15,4.363934426,0.163934426,6.00E+02
8.00E-01,0.5,4.272131148,0.157377049,8.00E+02
8.00E-01,1.5,3.695081967,0.413114754,8.00E+02
8.00E-01,2.5,3.832786885,0.695081967,8.00E+02
8.00E-01,3.5,4.08852459,0.413114754,8.00E+02
8.00E-01,4.5,4.213114754,0.144262295,8.00E+02
8.00E-01,5.5,4.357377049,0.183606557,8.00E+02
8.00E-01,6.5,4.449180328,0.249180328,8.00E+02
8.00E-01,7.5,4.245901639,0.281967213,8.00E+02
8.00E-01,8.5,4.26557377,0.183606557,8.00E+02
